fixture_id,date,season,home_team,away_team,home_goals,away_goals,total_goals,over_2_5,home_attack_rating_joint,home_defense_rating_joint,away_attack_rating_joint,away_defense_rating_joint,home_xg_last5_weighted_ucl,away_xg_last5_weighted_ucl,home_xg_against_last5_weighted_ucl,away_xg_against_last5_weighted_ucl,home_expected_rating_joint,away_expected_rating_joint,combined_expected_rating_joint,rating_gap_joint,home_expected_geo_ucl,away_expected_geo_ucl,combined_expected_geo_ucl,poisson_p_over_geo_ucl
1126226,2023-12-12,2023,Manchester United,Bayern Munich,0,1,1,0,0.00034035170283141966,-0.000636868886604396,0.005468423097753723,-0.0016346311787824354,1.8511453970325455,2.246980497385926,1.865884414991606,1.0492452035000555,-0.0012942794759510158,0.004831554211149326,0.0035372747351983106,-0.006125833687100343,1.3936661827057455,2.047585380603819,3.4412515633095646,0.2482311938200925
1126229,2023-12-12,2023,Union Berlin,Real Madrid,2,3,5,1,-0.000778598864232892,0.0001975919313789156,0.0028332735788590174,-0.002522648571308285,1.0943266972596768,2.0230662841617892,1.6081988023807539,1.212128050954853,-0.003301247435541177,0.003030865510237933,-0.0002703819253032443,-0.00633211294577911,1.1517222263450653,1.8037440991797786,2.955466325524844,0.1855848194649562
1126234,2023-12-13,2023,Atletico Madrid,Lazio,2,0,2,0,0.0023075701618065587,-0.0018446179267633542,4.41925401891877e-05,-0.0019993543304638807,1.7762435665524494,1.460983892932219,1.0726753709044392,1.0553018306546205,0.000308215831342678,-0.0018004253865741666,-0.0014922095552314886,0.002108641217916845,1.3691139789919946,1.2518631871081118,2.6209771661001064,0.14530970122919096
1126237,2023-12-13,2023,Newcastle,AC Milan,1,2,3,1,0.001659945153719326,-0.001967133633077173,0.00041599086703222654,-0.0014844916586413638,1.5216360573122443,1.484172501880561,1.8816818049488537,1.3900798448252702,0.00017545349507796224,-0.0015511427660449464,-0.0013756892709669841,0.0017265962611229086,1.4543712092960106,1.671149422461699,3.1255206317577096,0.20706415539784018
1126236,2023-12-13,2023,Borussia Dortmund,Paris Saint Germain,1,1,2,0,0.0026619637769524987,-0.0007375421293838139,0.002912338749495055,-0.0015432870606365515,1.696812855679619,2.2206166279771953,1.805002892073939,1.1374622918968829,0.0011186767163159472,0.002174796620111241,0.003293473336427188,-0.001056119903795294,1.3892662234940552,2.0020538043934573,3.391320027887512,0.2416315743953501
1149512,2024-02-13,2023,RB Leipzig,Real Madrid,0,1,1,0,0.0021399277302781086,-0.0004842175829492909,0.0025920232983539238,-0.0022776580653022624,1.7639485485957573,2.1254029852063674,1.3385216830134727,1.001743728622253,-0.0001377303350241538,0.002107805715404633,0.0019700753803804792,-0.002245536050428787,1.3292946987662764,1.6866825370650773,3.015977235831354,0.19316113712936744
1149514,2024-02-14,2023,Paris Saint Germain,Real Sociedad,2,0,2,0,0.00263453783928408,-0.001233722495470425,-0.00010204917265952035,-0.0025039840258496843,2.259906813070889,1.2546141345200175,1.268869113938248,0.8491911398233856,0.00013055381343439563,-0.0013357716681299452,-0.0012052178546955495,0.0014663254815643408,1.3853132651087634,1.2617214927244509,2.6470347578332145,0.14833715804404524
1149516,2024-02-14,2023,Lazio,Bayern Munich,1,0,1,0,-0.0005306094326119481,-0.0019326559686171762,0.004007320426522497,-0.0013222662655567048,1.3038756262657796,2.073345568270472,1.0835609256223109,0.9474560323569826,-0.001852875698168653,0.002074664457905321,0.00022178875973666778,-0.003927540156073973,1.1114696700984474,1.49886498494363,2.6103346550420774,0.14407914225622842
1149520,2024-02-20,2023,PSV Eindhoven,Borussia Dortmund,1,1,2,0,0.004970610506835369,-0.0021802157190249838,0.0031165629143233412,-0.0009851757729694704,2.4098047271875456,1.8428027341715576,0.9429902792971047,1.596680559037207,0.003985434733865899,0.0009363471952983575,0.004921781929164256,0.0030490875385675415,1.9615525379087644,1.3182355878164969,3.2797881257252612,0.22700069257697886
1149518,2024-02-20,2023,Inter,Atletico Madrid,1,0,1,0,0.0019394325726105794,-0.0032358778545808166,0.0026241884722210886,-0.001932316743258367,2.1372435218529646,1.71867843377091,0.854905460425144,1.0971423678279595,7.115829352212369e-06,-0.000611689382359728,-0.0006045735530075156,0.0006188052117119403,1.531293707356864,1.2121499815392835,2.7434436888961473,0.159710594573654
1149524,2024-02-21,2023,Napoli,Barcelona,1,1,2,0,0.0006679571745485287,-0.0019271799841770949,0.0017110912413471366,-0.0017041342817260842,1.3892023317729914,2.057365436399918,1.1264542108827345,1.1373808696251015,-0.0010361771071775556,-0.00021608874282995827,-0.0012522658500075138,-0.0008200883643475973,1.2570012554477357,1.522342917728224,2.77934417317596,0.16401192730704806
1149515,2024-03-05,2023,Real Sociedad,Paris Saint Germain,1,2,3,1,-0.0005196322573157658,-0.0025787628378579927,0.0025024242667829634,-0.0011399293268288487,1.2162780632681487,2.028664797543869,0.9377787197144053,1.1866829623875779,-0.0016595615841446146,-7.633857107502929e-05,-0.0017359001552196439,-0.0015832230130695853,1.2013893853393547,1.3792891925083632,2.580678577847718,0.14066856932365235
1149517,2024-03-05,2023,Bayern Munich,Lazio,3,0,3,1,0.003480239737288877,-0.001083692478791424,-0.0003801817879942889,-0.0019078258181165905,1.9684627382120867,1.2407587742940684,1.087110588019318,1.2132851049732385,0.0015724139191722866,-0.0014638742667857129,0.00010853965238657374,0.0030362881859579997,1.5454146757319085,1.1613965734033111,2.7068112491352196,0.15535787807070833
