fixture_id,mkt_over25_prob
1055135,0.5628272251308901
1055131,0.5897435897435896
1055124,0.7361963190184049
1055125,0.5897435897435896
1055127,0.625
1055129,0.5394736842105263
1055130,0.5263157894736842
1055126,0.8541392904073586
1055123,0.5526315789473685
1055089,0.7749077490774907
1055094,0.5994897959183673
1055121,0.6372549019607844
1055096,0.6372549019607844
1055122,0.6521739130434782
1055115,0.5459317585301837
1055116,0.5813953488372093
1055120,0.5459317585301837
1055119,0.5994897959183673
1055118,0.7291666666666667
1055117,0.5263157894736842
1055114,0.5394736842105263
1055111,0.5628272251308901
1055113,0.5813953488372093
1055112,0.5813953488372093
1055109,0.6106870229007634
1055110,0.5628272251308901
1055105,0.5526315789473685
1055108,0.7361963190184049
1055107,0.625
1055106,0.7361963190184049
1055101,0.5994897959183673
1055104,0.6728971962616822
1055102,0.6106870229007634
1055100,0.7361963190184049
1055103,0.5994897959183673
1055099,0.5628272251308901
1055092,0.7361963190184049
1055097,0.5459317585301837
1055091,0.6106870229007634
1055090,0.5628272251308901
1055098,0.5714285714285715
1055093,0.5526315789473685
1055084,0.5628272251308901
1055083,0.625
1055088,0.5994897959183673
1055087,0.5994897959183673
1055085,0.5813953488372093
1055086,0.625
1055081,0.5813953488372093
1055079,0.5526315789473685
1055080,0.695067264573991
1055082,0.5628272251308901
1055078,0.5459317585301837
1055077,0.5526315789473685
1055074,0.5526315789473685
1055072,0.5994897959183673
1055076,0.695067264573991
1055071,0.6521739130434782
1055073,0.695067264573991
1055075,0.5994897959183673
1030273,0.5813953488372093
1055070,0.6106870229007634
1030272,0.513157894736842
1028877,0.513157894736842
1028330,0.48684210526315796
872529,0.7188160676532769
1028876,0.4540682414698162
1028925,0.5526315789473685
872528,0.695067264573991
872526,0.5394736842105263
872521,0.5628272251308901
872522,0.6728971962616822
872527,0.695067264573991
872523,0.7361963190184049
872525,0.5628272251308901
872518,0.6372549019607844
1028334,0.4540682414698162
872514,0.5813953488372093
872519,0.6106870229007634
872520,0.5813953488372093
872517,0.7291666666666667
872512,0.695067264573991
872503,0.6106870229007634
872516,0.5994897959183673
872515,0.6106870229007634
872509,0.7749077490774907
872511,0.625
